Consulta,Media do Tempo Acumulado (segundos),Media do Tempo Absoluto (s),Media Tempo Absoluto (minutos)
1,"210,28","13,57","0,23"
2,"1,65","0,11","0,00"
3,"18,14","1,11","0,02"
4,"9,06","0,58","0,01"
5,"13,51","0,86","0,01"
6,"27,62","1,78","0,03"
7,"11,98","0,77","0,01"
8,"37,08","2,39","0,04"
9,"26,91","1,65","0,03"
10,"18,50","1,15","0,02"
11,"2,02","0,12","0,00"
12,"40,33","2,60","0,04"
13,"44,59","2,88","0,05"
14,"27,51","1,77","0,03"
15,"58,57","3,78","0,06"
16,"5,00","0,32","0,01"
17,"4,22","0,27","0,00"
18,"41,22","2,66","0,04"
19,"2,79","0,17","0,00"
20,"12,91","0,81","0,01"
21,"11,87","0,76","0,01"
22,"3,57","0,21","0,00"
